path,magic_numbers,sample
Assets/Core/GameCoreSystems/LoadingSplash/VgCircleWipeEffect.cs,3,"0f, 0f, 0f"
Assets/Editor/BuildScripts/GitVersionProcessor.cs,2,"0.1, 0.1"
Assets/GameMain/Scripts/Editor/Level/LDtkPostProcessor/LDtkAutoEntityProcessor.cs,2,"0.5f, 0.5f"
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/PlayerNormalStJump.cs,2,"1.2f, 1f"
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/PlayerGrabStJump.cs,2,"0.2f, 0.2f"
Assets/GameMain/Scripts/RunTime/GamePlay/SnakeGame/PlayerSnakeInitializer.cs,2,"0.5f, 0.5f"
Assets/GameMain/Scripts/RunTime/GamePlay/Entities/PlatformerGame/MisteryFog/MisteryFog.cs,2,"1f, 0f"
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/Effect/EffectPoolManager.cs,2,"20, 5f"
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/WaveControl/WavePoolManager.cs,2,"5f, 1.5f"
Assets/Core/Logger/LogTag.cs,2,"3, 3"
Assets/Core/Input/InputEvents.cs,2,"0.5f, 0.2f"
Assets/Core/GameCoreSystems/Audio/VgAudioSystem.cs,2,"20, 20"
Assets/Demos/FunctionDev/CharacterControllerDemo/PlayerDeAccelerateCapability.cs,1,0f
Assets/Demos/FunctionDev/CharacterControllerDemo/PlayerMovementComponent.cs,1,0.2f
Assets/Rendering/RainRust/RenderPasses/SonarObstaclePass.cs,1,1.0f
Assets/Rendering/RainRust/RenderPasses/RainRustRenderingPass.cs,1,3
Assets/Rendering/RainRust/RenderPasses/RainRustJfaPass.cs,1,1f
Assets/Rendering/RainRust/RenderPasses/RainRustRayTracingPass.cs,1,1f
Assets/Rendering/RainRust/RenderPasses/RainRustDistancePass.cs,1,1f
Assets/GameMain/Scripts/Editor/Level/LDtkPostProcessor/LDtkChapterBackgroundProcessor.cs,1,4
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/PlayerNormalStGravity.cs,1,1f
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/PlayerStMachineDeath.cs,1,1f
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/PlayerStateStartSet.cs,1,4f
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/PlayerStMachineThrow.cs,1,1f
Assets/GameMain/Scripts/RunTime/GamePlay/SnakeGame/SnakeTail.cs,1,0.08f
Assets/GameMain/Scripts/RunTime/GamePlay/Entities/PlatformerGame/MovePlatformer/MovePlatformerPathPoint.cs,1,0.3f
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/Checkpoint/MatCheckpointControl.cs,1,1f
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/Effect/ParticleEffectInstance.cs,1,0f
Assets/Core/GameCore/GameCore.cs,1,5
Assets/Core/Common/FramedFloat.cs,1,60f
Assets/Core/Common/BuildVersionInfo.cs,1,0.0
Assets/Core/GameCoreSystems/SaveSystem/SaveMeta.cs,1,1.0
Assets/Core/GameCoreSystems/LoadingSplash/VgSplasher.cs,1,500
Assets/Core/GameCoreSystems/Audio/Entry/StringManagedAudioEntry.cs,1,200
Assets/Core/Common/StateMachine/StateMachine.cs,1,3
