pr_number,title,author,github_author,topic,deadline_at,deadline_type,first_signal_at,first_commit_at,last_commit_at,first_signal_source,hours_before_deadline,within_24h,within_72h,commit_count,churn,additions,deletions,changed_files
314,Oris Update,Vanish,Vanish,Other,2026-05-07T16:48:20+08:00,merged_at,2026-05-07T16:48:20+08:00,2026-05-07T16:48:20+08:00,2026-05-07T16:48:20+08:00,linked_commit,0.0,True,True,1,20342,17849,2493,79
312,Likoko/5.6,likoko,likoko,Other,2026-05-07T16:23:41+08:00,merged_at,2026-05-07T16:23:41+08:00,2026-05-07T16:23:41+08:00,2026-05-07T16:23:41+08:00,linked_commit,0.0,True,True,1,897,889,8,16
311,Likoko/5.6,likoko,likoko,Other,2026-05-07T01:44:42+08:00,merged_at,2026-05-07T01:44:42+08:00,2026-05-07T01:44:42+08:00,2026-05-07T01:44:42+08:00,linked_commit,0.0,True,True,1,18713,16311,2402,43
310,4.29 project,OriSYX,OriSYX,Other,2026-05-06T21:26:02+08:00,merged_at,2026-05-06T21:26:02+08:00,2026-05-06T21:26:02+08:00,2026-05-06T21:26:02+08:00,linked_commit,0.0,True,True,1,80,17,63,2
309,4.29 project,OriSYX,OriSYX,Other,2026-05-06T20:25:20+08:00,merged_at,2026-05-06T20:25:20+08:00,2026-05-06T20:25:20+08:00,2026-05-06T20:25:20+08:00,linked_commit,0.0,True,True,1,67732,44094,23638,265
305,feat & refactor: 实现声纳阻挡系统、重构 Loading Splash 体系及优化玩家能力逻辑,Vanish,Vanish,Refactor,2026-05-03T07:47:35+08:00,merged_at,2026-05-03T07:47:35+08:00,2026-05-03T07:47:35+08:00,2026-05-03T07:47:35+08:00,linked_commit,0.0,True,True,1,2106,1400,706,84
294,4.26 project,OriSYX,OriSYX,Other,2026-04-27T20:37:27+08:00,merged_at,2026-04-27T20:37:27+08:00,2026-04-27T20:37:27+08:00,2026-04-27T20:37:27+08:00,linked_commit,0.0,True,True,1,5362,4343,1019,22
290,4.26 new start,OriSYX,OriSYX,Assets/Art,2026-04-26T17:15:28+08:00,merged_at,2026-04-26T17:15:28+08:00,2026-04-26T17:15:28+08:00,2026-04-26T17:15:28+08:00,linked_commit,0.0,True,True,1,10138,9474,664,100
285,贪吃蛇,Vanish,Vanish,Other,2026-04-24T22:28:44+08:00,merged_at,2026-04-24T22:28:44+08:00,2026-04-24T22:28:44+08:00,2026-04-24T22:28:44+08:00,linked_commit,0.0,True,True,1,30100,8714,21386,739
284,4.17 project,OriSYX,OriSYX,Other,2026-04-24T00:14:57+08:00,merged_at,2026-04-24T00:14:57+08:00,2026-04-24T00:14:57+08:00,2026-04-24T00:14:57+08:00,linked_commit,0.0,True,True,1,32725,17227,15498,732
