number,title,state,merged,draft,author,created_at,closed_at,merged_at,lead_time_hours,commits,additions,deletions,changed_files,base,head,labels,topic,review_decision,source
305,feat & refactor: 实现声纳阻挡系统、重构 Loading Splash 体系及优化玩家能力逻辑,merged_inferred,True,False,Vanish,,2026-05-03T07:47:35+08:00,2026-05-03T07:47:35+08:00,,1,1400,706,84,,,,Refactor,,git_subject_inferred
294,4.26 project,merged_inferred,True,False,OriSYX,,2026-04-27T20:37:27+08:00,2026-04-27T20:37:27+08:00,,1,4343,1019,22,,,,Other,,git_subject_inferred
290,4.26 new start,merged_inferred,True,False,OriSYX,,2026-04-26T17:15:28+08:00,2026-04-26T17:15:28+08:00,,1,9474,664,100,,,,Assets/Art,,git_subject_inferred
285,贪吃蛇,merged_inferred,True,False,Vanish,,2026-04-24T22:28:44+08:00,2026-04-24T22:28:44+08:00,,1,8714,21386,739,,,,Other,,git_subject_inferred
284,4.17 project,merged_inferred,True,False,OriSYX,,2026-04-24T00:14:57+08:00,2026-04-24T00:14:57+08:00,,1,17227,15498,732,,,,Other,,git_subject_inferred
280,增加了光源阻挡,merged_inferred,True,False,Vanish,,2026-04-21T21:02:22+08:00,2026-04-21T21:02:22+08:00,,1,10,2,1,,,,Other,,git_subject_inferred
279,修好了一个蠢bug,merged_inferred,True,False,Vanish,,2026-04-21T20:41:51+08:00,2026-04-21T20:41:51+08:00,,1,124,121,39,,,,Bug/Fix,,git_subject_inferred
274,add some lights,merged_inferred,True,False,likoko,,2026-04-20T00:32:46+08:00,2026-04-20T00:32:46+08:00,,1,319,16,10,,,,Rendering,,git_subject_inferred
266,feat: WebGL 构建 + GitHub Pages 部署 + CI/CD 修复 (#266),merged_inferred,True,False,Vanish,,2026-04-12T19:04:36+08:00,2026-04-12T19:04:36+08:00,,1,1572,203,13,,,,Build/CI,,git_subject_inferred
263,feat: transition to RainRust project & refactor CI/CD/Core systems,merged_inferred,True,False,Vanish,,2026-04-12T07:18:16+08:00,2026-04-12T07:18:16+08:00,,1,5672,5083,171,,,,Refactor,,git_subject_inferred
