path,last_commit,first_commit,days_since_last_commit
Assets/Plugins/Sirenix/Odin Inspector/Config/Editor/TypeRegistryUserConfig.asset.meta,2025-06-17T21:01:08+08:00,2025-06-17T21:01:08+08:00,365
Assets/Plugins/Sirenix/Odin Inspector/Modules/Unity.Addressables.data,2025-06-17T21:01:08+08:00,2025-06-17T21:01:08+08:00,365
Assets/Plugins/Demigiant/DOTween/Editor/Imgs/Footer_dark.png.meta,2025-06-17T21:01:08+08:00,2025-06-17T21:01:08+08:00,365
Assets/Plugins/Sirenix/Odin Inspector/Assets/Editor/OdinPathLookup.asset.meta,2025-06-17T21:01:08+08:00,2025-06-17T21:01:08+08:00,365
Assets/Plugins/Demigiant/DOTween/DOTween.dll,2025-06-17T21:01:08+08:00,2025-06-17T21:01:08+08:00,365
Assets/Plugins/Sirenix/Assemblies/link.xml.meta,2025-06-17T21:01:08+08:00,2025-06-17T21:01:08+08:00,365
Assets/Resources.meta,2025-06-17T22:35:27+08:00,2025-06-17T22:32:44+08:00,365
Assets/Plugins/Sirenix/Assemblies/Sirenix.Serialization.Config.xml.meta,2025-06-17T21:01:08+08:00,2025-06-17T21:01:08+08:00,365
Assets/Plugins/Sirenix/Odin Inspector/Config/Editor.meta,2025-06-17T21:01:08+08:00,2025-06-17T21:01:08+08:00,365
Assets/Plugins/Sirenix/Assemblies/NoEmitAndNoEditor/Sirenix.Serialization.dll.meta,2025-06-17T21:01:08+08:00,2025-06-17T21:01:08+08:00,365
Assets/Plugins/Sirenix/Odin Inspector/Assets/Editor/Hidden/LazyEditorIconShader.shader,2025-06-17T21:01:08+08:00,2025-06-17T21:01:08+08:00,365
Assets/GameAssets/PackedAssets.meta,2025-06-17T22:35:27+08:00,2025-06-17T22:32:44+08:00,365
Assets/Plugins/Sirenix/Assemblies/Sirenix.Reflection.Editor.dll.meta,2025-06-17T21:01:08+08:00,2025-06-17T21:01:08+08:00,365
Assets/Plugins/Demigiant/DOTween/Editor/Imgs/Footer.png.meta,2025-06-17T21:01:08+08:00,2025-06-17T21:01:08+08:00,365
Assets/Plugins/Sirenix/Assemblies/Sirenix.Utilities.xml.meta,2025-06-17T21:01:08+08:00,2025-06-17T21:01:08+08:00,365
Assets/Plugins/Sirenix/Odin Inspector/Assets/Editor/Hidden.meta,2025-06-17T21:01:08+08:00,2025-06-17T21:01:08+08:00,365
Assets/Editor/EditorResources/Gizmos.meta,2025-06-17T22:35:27+08:00,2025-06-17T22:32:44+08:00,365
Assets/Plugins/Sirenix/Odin Inspector/Modules/Unity.Mathematics.data.meta,2025-06-17T21:01:08+08:00,2025-06-17T21:01:08+08:00,365
Assets/Demos.meta,2025-06-17T22:35:27+08:00,2025-06-17T22:34:02+08:00,365
Assets/Plugins/Sirenix/Odin Inspector/Config/Editor/GeneralDrawerConfig.asset.meta,2025-06-17T21:01:08+08:00,2025-06-17T21:01:08+08:00,365
Assets/Plugins/Sirenix/Odin Inspector/Assets/Editor/Bootstrap License.txt,2025-06-17T21:01:08+08:00,2025-06-17T21:01:08+08:00,365
Assets/Plugins/Demigiant/DOTween/Editor/Imgs/Header.jpg.meta,2025-06-17T21:01:08+08:00,2025-06-17T21:01:08+08:00,365
Assets/Plugins/Sirenix/Odin Inspector/Assets/Editor/ConfigData.bytes,2025-06-17T21:01:08+08:00,2025-06-17T21:01:08+08:00,365
Assets/Plugins/Sirenix/Odin Inspector/Config/Resources/Sirenix.meta,2025-06-17T21:01:08+08:00,2025-06-17T21:01:08+08:00,365
Assets/Plugins/Sirenix/Odin Inspector/Config.meta,2025-06-17T21:01:08+08:00,2025-06-17T21:01:08+08:00,365
Assets/Plugins/Sirenix/Odin Inspector/Assets/Editor/SdfIconAtlas.png,2025-06-17T21:01:08+08:00,2025-06-17T21:01:08+08:00,365
Assets/Plugins/Demigiant/DOTween/Modules/DOTweenModuleUnityVersion.cs.meta,2025-06-17T21:01:08+08:00,2025-06-17T21:01:08+08:00,365
Assets/Plugins/Sirenix/Odin Inspector/Config/Editor/OdinModuleConfig.asset.meta,2025-06-17T21:01:08+08:00,2025-06-17T21:01:08+08:00,365
Assets/Editor.meta,2025-06-17T22:35:27+08:00,2025-06-17T22:32:44+08:00,365
Assets/Plugins/Sirenix/Odin Inspector/Modules/Unity.Localization.data.meta,2025-06-17T21:01:08+08:00,2025-06-17T21:01:08+08:00,365
Assets/GameAssets.meta,2025-06-17T22:35:27+08:00,2025-06-17T22:32:44+08:00,365
Assets/Plugins/Sirenix/Assemblies/Sirenix.Serialization.Config.dll.meta,2025-06-17T21:01:08+08:00,2025-06-17T21:01:08+08:00,365
Assets/Plugins/Sirenix/Assemblies/NoEditor/Sirenix.Utilities.dll.meta,2025-06-17T21:01:08+08:00,2025-06-17T21:01:08+08:00,365
Assets/Plugins/Sirenix/Assemblies/NoEditor.meta,2025-06-17T21:01:08+08:00,2025-06-17T21:01:08+08:00,365
Assets/Plugins/Demigiant/DOTween/Editor/Imgs/Footer_dark.png,2025-06-17T21:01:08+08:00,2025-06-17T21:01:08+08:00,365
Assets/Plugins/Sirenix/Odin Inspector/Assets/Editor/ConfigData.bytes.meta,2025-06-17T21:01:08+08:00,2025-06-17T21:01:08+08:00,365
Assets/Plugins/Sirenix/Odin Inspector/Modules/Unity.Localization.data,2025-06-17T21:01:08+08:00,2025-06-17T21:01:08+08:00,365
Assets/Tests.meta,2025-06-17T22:35:27+08:00,2025-06-17T22:11:03+08:00,365
Assets/Plugins/Sirenix/Demos.meta,2025-06-17T21:01:08+08:00,2025-06-17T21:01:08+08:00,365
Assets/Plugins/Demigiant.meta,2025-06-17T21:01:08+08:00,2025-06-17T21:01:08+08:00,365
Assets/Plugins/Sirenix/Assemblies/Sirenix.Utilities.Editor.xml.meta,2025-06-17T21:01:08+08:00,2025-06-17T21:01:08+08:00,365
Assets/Arts.meta,2025-06-17T22:35:27+08:00,2025-06-17T22:32:44+08:00,365
Assets/Plugins/Demigiant/DOTween/readme.txt.meta,2025-06-17T21:01:08+08:00,2025-06-17T21:01:08+08:00,365
Assets/Plugins/Sirenix/Odin Inspector/Assets/Editor.meta,2025-06-17T21:01:08+08:00,2025-06-17T21:01:08+08:00,365
Assets/Plugins/Sirenix/Odin Inspector/Modules/Unity.Entities.data.meta,2025-06-17T21:01:08+08:00,2025-06-17T21:01:08+08:00,365
Assets/Plugins/Sirenix/Readme.txt,2025-06-17T21:01:08+08:00,2025-06-17T21:01:08+08:00,365
Assets/Plugins/Sirenix/Odin Inspector/Assets/Editor/Hidden/GUIUtilShader.shader.meta,2025-06-17T21:01:08+08:00,2025-06-17T21:01:08+08:00,365
Assets/Plugins/Demigiant/DOTween/Modules/DOTweenModuleSprite.cs.meta,2025-06-17T21:01:08+08:00,2025-06-17T21:01:08+08:00,365
Assets/Plugins/Sirenix/Odin Inspector/Modules/Unity.Entities.data,2025-06-17T21:01:08+08:00,2025-06-17T21:01:08+08:00,365
Assets/Plugins/Demigiant/DOTween/Editor/DOTweenEditor.XML.meta,2025-06-17T21:01:08+08:00,2025-06-17T21:01:08+08:00,365
Assets/Plugins/Sirenix/Assemblies/Sirenix.OdinInspector.Editor.xml.meta,2025-06-17T21:01:08+08:00,2025-06-17T21:01:08+08:00,365
Assets/Core/Logger/LogSystem.cs.meta,2025-06-30T19:23:20+08:00,2025-06-30T19:23:20+08:00,352
Assets/Core/Logger.meta,2025-06-30T19:23:20+08:00,2025-06-30T19:23:20+08:00,352
Assets/Core.meta,2025-06-30T19:23:20+08:00,2025-06-30T19:23:20+08:00,352
csharpierrc.json,2025-06-30T19:23:20+08:00,2025-06-30T19:23:20+08:00,352
Assets/Core/Logger/LogTag.cs.meta,2025-06-30T19:23:20+08:00,2025-06-30T19:23:20+08:00,352
Assets/Core/Core.asmdef.meta,2025-06-30T19:23:20+08:00,2025-06-30T19:23:20+08:00,352
Assets/ThirdParty.meta,2025-07-05T16:04:21+08:00,2025-07-05T16:04:21+08:00,347
ProjectSettings/AmplifyShaderEditor.asset,2025-07-05T16:04:21+08:00,2025-07-05T16:04:21+08:00,347
Assets/Editor/Odin Tools.meta,2025-07-08T21:03:04+08:00,2025-07-08T21:03:04+08:00,344
Packages/nuget-packages/packages.config.meta,2025-07-08T21:03:04+08:00,2025-07-08T21:03:04+08:00,344
ProjectSettings/BurstAotSettings_StandaloneWindows.json,2025-07-08T21:03:04+08:00,2025-06-16T20:51:27+08:00,344
Packages/nuget-packages/NuGet.config.meta,2025-07-08T21:03:04+08:00,2025-07-08T21:03:04+08:00,344
Assets/Editor/Roslynator.meta,2025-07-08T21:03:04+08:00,2025-07-08T21:03:04+08:00,344
Packages/nuget-packages/InstalledPackages.meta,2025-07-08T21:03:04+08:00,2025-07-08T21:03:04+08:00,344
Packages/nuget-packages/package.json,2025-07-08T21:03:04+08:00,2025-07-08T21:03:04+08:00,344
Packages/nuget-packages/package.json.meta,2025-07-08T21:03:04+08:00,2025-07-08T21:03:04+08:00,344
Assets/Plugins/IngameDebugConsole/Sprites/Unused.meta,2025-08-16T23:52:13+08:00,2025-07-09T21:35:42+08:00,305
Assets/Plugins/IngameDebugConsole/Sprites/IconClear.psd.meta,2025-08-16T23:52:13+08:00,2025-07-09T21:35:42+08:00,305
Assets/GameMain/Scripts.meta,2025-08-16T23:52:13+08:00,2025-07-09T23:00:00+08:00,305
Assets/Plugins/IngameDebugConsole/Scripts/DebugsOnScrollListener.cs.meta,2025-08-16T23:52:13+08:00,2025-07-09T21:35:42+08:00,305
Assets/TextMesh Pro/Sprites/EmojiOne.png,2025-08-16T23:52:13+08:00,2025-07-09T21:35:42+08:00,305
Assets/Plugins/IngameDebugConsole/Sprites/IconInfo.psd,2025-08-16T23:52:13+08:00,2025-07-09T21:35:42+08:00,305
Assets/TextMesh Pro/Sprites/EmojiOne Attribution.txt.meta,2025-08-16T23:52:13+08:00,2025-07-09T21:35:42+08:00,305
Assets/Plugins/IngameDebugConsole/README.txt,2025-08-16T23:52:13+08:00,2025-07-09T21:35:42+08:00,305
Assets/Plugins/IngameDebugConsole/Scripts/DebugLogRecycledListView.cs.meta,2025-08-16T23:52:13+08:00,2025-07-09T21:35:42+08:00,305
Assets/Plugins/IngameDebugConsole/Sprites/IconSnapToBottomBg.psd,2025-08-16T23:52:13+08:00,2025-07-09T21:35:42+08:00,305
Assets/GameMain/Scripts/RunTime.meta,2025-08-16T23:52:13+08:00,2025-07-09T23:00:00+08:00,305
Assets/Plugins/IngameDebugConsole/Unity游戏内调试控制台技术文档.md.meta,2025-08-16T23:52:13+08:00,2025-07-09T23:00:00+08:00,305
Assets/TextMesh Pro/Sprites/EmojiOne.png.meta,2025-08-16T23:52:13+08:00,2025-07-09T21:35:42+08:00,305
Assets/TextMesh Pro/Shaders/TMP_SDF.shader.meta,2025-08-16T23:52:13+08:00,2025-07-09T21:35:42+08:00,305
Assets/Plugins/IngameDebugConsole/Sprites/IconClear.psd,2025-08-16T23:52:13+08:00,2025-07-09T21:35:42+08:00,305
Assets/Plugins/IngameDebugConsole/Scripts/Attributes.meta,2025-08-16T23:52:13+08:00,2025-07-09T21:35:42+08:00,305
Assets/Plugins/Sirenix/Odin Inspector/Modules/Unity.Addressables/Validators/DisallowAddressableSubAssetFieldAttributeValidator.cs.meta,2025-08-16T23:52:13+08:00,2025-08-06T19:13:27+08:00,305
Assets/GameMain/Scripts/RunTime/GameMain.RunTime.asmdef.meta,2025-08-16T23:52:13+08:00,2025-07-09T23:00:00+08:00,305
