path,risk_score,lines,complexity,churn,touches,update_methods,public_fields,reflection_hits,magic_numbers
Assets/Core/GameCoreSystems/LoadingSplash/VgDefaultSplasher.cs,18.43,45,1,45,1,0,0,1,5
Assets/GameMain/Scripts/RunTime/UI/SuperText/EffectSpan.cs,18.26,25,1,25,1,0,3,0,0
Assets/GameMain/Scripts/RunTime/GamePlay/SnakeGame/PlayerSnakeInitializer.cs,17.95,16,1,18,2,0,0,1,2
Assets/Core/GameCoreSystems/Audio/Entry/AudioPlayEntry.cs,17.91,19,1,19,1,0,3,0,0
Assets/Core/GameCoreSystems/SaveSystem/SaveSlotEntrySaveData.cs,17.79,17,1,17,1,0,3,0,0
Assets/GameMain/Scripts/RunTime/Events/GamePlay/SnakeGame/GamePlaySnakeGameEvents.cs,17.73,33,1,33,2,0,2,0,0
Assets/GameMain/Scripts/RunTime/UI/SuperText/TextDevelopSceneScript.cs,17.51,19,3,19,1,1,0,0,0
Assets/Core/Common/StateMachine/Drivers/StateDriverRunner.cs,17.32,9,1,9,1,0,3,0,0
Assets/Core/GameCoreSystems/Scene/SceneLoadInfo.cs,16.96,85,5,85,1,0,0,0,0
Assets/Core/GameCoreSystems/Audio/Entry/CustomAudioEntry.cs,16.83,52,6,52,1,0,0,0,0
Assets/Core/CoreModule/GlobalConfiguration/GlobalConfigurationManager.cs,16.81,15,1,31,2,1,0,0,0
Assets/Core/CoreModule/PostProcessing/VgPostProcessingManager.cs,16.81,15,1,31,2,1,0,0,0
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/PlayerControlComponent.Rope.cs,16.42,24,5,26,2,0,0,0,0
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/PlayerNormalStHorizontal.cs,16.38,54,4,58,2,0,0,0,0
Assets/GameMain/Scripts/RunTime/GamePlay/Entities/PlatformerGame/Chain/ChainJointTrigger.cs,16.06,25,2,25,1,0,0,1,0
Assets/Core/GameCoreSystems/LoadingSplash/VgDissolveSplasher.cs,16.01,79,3,79,1,0,0,0,5
