from,to,from_path
Sirenix.OdinInspector.Modules.UnityLocalization,Sirenix.Serialization.Config,Assets/Plugins/Sirenix/Odin Inspector/Modules/Unity.Localization/Runtime/Sirenix.OdinInspector.Modules.UnityLocalization.asmdef
Sirenix.OdinInspector.Modules.UnityLocalization.Editor,Unity.Localization,Assets/Plugins/Sirenix/Odin Inspector/Modules/Unity.Localization/Editor/Sirenix.OdinInspector.Modules.UnityLocalization.Editor.asmdef
Sirenix.OdinInspector.Modules.UnityLocalization.Editor,Sirenix.Serialization,Assets/Plugins/Sirenix/Odin Inspector/Modules/Unity.Localization/Editor/Sirenix.OdinInspector.Modules.UnityLocalization.Editor.asmdef
Sirenix.OdinInspector.Modules.UnityLocalization.Editor,Sirenix.OdinInspector.Attributes,Assets/Plugins/Sirenix/Odin Inspector/Modules/Unity.Localization/Editor/Sirenix.OdinInspector.Modules.UnityLocalization.Editor.asmdef
Sirenix.OdinInspector.Modules.UnityLocalization.Editor,Sirenix.OdinInspector.Editor,Assets/Plugins/Sirenix/Odin Inspector/Modules/Unity.Localization/Editor/Sirenix.OdinInspector.Modules.UnityLocalization.Editor.asmdef
Sirenix.OdinInspector.Modules.UnityLocalization.Editor,Sirenix.Utilities.Editor,Assets/Plugins/Sirenix/Odin Inspector/Modules/Unity.Localization/Editor/Sirenix.OdinInspector.Modules.UnityLocalization.Editor.asmdef
Sirenix.OdinInspector.Modules.UnityLocalization.Editor,Unity.Localization.Editor,Assets/Plugins/Sirenix/Odin Inspector/Modules/Unity.Localization/Editor/Sirenix.OdinInspector.Modules.UnityLocalization.Editor.asmdef
Sirenix.OdinInspector.Modules.UnityLocalization.Editor,Sirenix.Utilities,Assets/Plugins/Sirenix/Odin Inspector/Modules/Unity.Localization/Editor/Sirenix.OdinInspector.Modules.UnityLocalization.Editor.asmdef
Sirenix.OdinInspector.Modules.UnityLocalization.Editor,Unity.Addressables.Editor,Assets/Plugins/Sirenix/Odin Inspector/Modules/Unity.Localization/Editor/Sirenix.OdinInspector.Modules.UnityLocalization.Editor.asmdef
UniTask.Editor,UniTask,Assets/Plugins/UniTask/Editor/UniTask.Editor.asmdef
UniTask.Linq,UniTask,Assets/Plugins/UniTask/Runtime/Linq/UniTask.Linq.asmdef
UniTask.Addressables,UniTask,Assets/Plugins/UniTask/Runtime/External/Addressables/UniTask.Addressables.asmdef
UniTask.Addressables,Unity.ResourceManager,Assets/Plugins/UniTask/Runtime/External/Addressables/UniTask.Addressables.asmdef
UniTask.Addressables,Unity.Addressables,Assets/Plugins/UniTask/Runtime/External/Addressables/UniTask.Addressables.asmdef
UniTask.TextMeshPro,UniTask,Assets/Plugins/UniTask/Runtime/External/TextMeshPro/UniTask.TextMeshPro.asmdef
UniTask.TextMeshPro,Unity.TextMeshPro,Assets/Plugins/UniTask/Runtime/External/TextMeshPro/UniTask.TextMeshPro.asmdef
UniTask.DOTween,UniTask,Assets/Plugins/UniTask/Runtime/External/DOTween/UniTask.DOTween.asmdef
UniTask.DOTween,DOTween.Modules,Assets/Plugins/UniTask/Runtime/External/DOTween/UniTask.DOTween.asmdef
IngameDebugConsole.Editor,IngameDebugConsole.Runtime,Assets/Plugins/IngameDebugConsole/Editor/IngameDebugConsole.Editor.asmdef
Zenject-ReflectionBaking-Editor,Zenject,Assets/Plugins/Zenject/OptionalExtras/ReflectionBaking/Zenject-ReflectionBaking-Editor.asmdef
Zenject-ReflectionBaking-Editor,Zenject-Editor,Assets/Plugins/Zenject/OptionalExtras/ReflectionBaking/Zenject-ReflectionBaking-Editor.asmdef
Zenject-TestFramework,Zenject,Assets/Plugins/Zenject/OptionalExtras/TestFramework/Zenject-TestFramework.asmdef
Zenject-PoolMonitor-Editor,Zenject,Assets/Plugins/Zenject/OptionalExtras/MemoryPoolMonitor/Editor/Zenject-PoolMonitor-Editor.asmdef
Zenject-PoolMonitor-Editor,Zenject-Editor,Assets/Plugins/Zenject/OptionalExtras/MemoryPoolMonitor/Editor/Zenject-PoolMonitor-Editor.asmdef
Zenject-Editor,Zenject,Assets/Plugins/Zenject/Source/Editor/Zenject-Editor.asmdef
FMODUnityEditor,FMODUnity,Assets/Plugins/FMOD/src/Editor/FMODUnityEditor.asmdef
FMODUnityEditor,Unity.Timeline.Editor,Assets/Plugins/FMOD/src/Editor/FMODUnityEditor.asmdef
FMODUnityEditor,Unity.Timeline,Assets/Plugins/FMOD/src/Editor/FMODUnityEditor.asmdef
FMODUnityEditor,Unity.VisualScripting.Core,Assets/Plugins/FMOD/src/Editor/FMODUnityEditor.asmdef
FMODUnityEditor,Unity.VisualScripting.Core.Editor,Assets/Plugins/FMOD/src/Editor/FMODUnityEditor.asmdef
FMODUnityEditor,Unity.VisualScripting.Flow.Editor,Assets/Plugins/FMOD/src/Editor/FMODUnityEditor.asmdef
FMODUnityEditor,Unity.ScriptableBuildPipeline.Editor,Assets/Plugins/FMOD/src/Editor/FMODUnityEditor.asmdef
FMODUnityEditor,Unity.InputSystem,Assets/Plugins/FMOD/src/Editor/FMODUnityEditor.asmdef
FMODUnityResonance,FMODUnity,Assets/Plugins/FMOD/addons/ResonanceAudio/Scripts/FMODUnityResonance.asmdef
FMODUnityResonanceEditor,FMODUnityResonance,Assets/Plugins/FMOD/addons/ResonanceAudio/Editor/FMODUnityResonanceEditor.asmdef
Unity.RenderPipelines.Universal.Runtime,df380645f10b7bc4b97d4f5eb6303d95,Packages/com.unity.render-pipelines.universal/Runtime/Unity.RenderPipelines.Universal.Runtime.asmdef
