path,line,text
Packages/com.unity.render-pipelines.universal/Runtime/RenderingUtils.cs,105,"// TODO: When importing project, AssetPreviewUpdater::CreatePreviewForAsset will be called multiple times."
Packages/com.unity.render-pipelines.universal/Runtime/RenderingUtils.cs,157,//TODO FrameData: Merge these two SetScaleBiasRt() functions
Packages/com.unity.render-pipelines.universal/Runtime/RenderingUtils.cs,320,"// TODO: When importing project, AssetPreviewUpdater::CreatePreviewForAsset will be called multiple times."
Packages/com.unity.render-pipelines.universal/Runtime/RenderingUtils.cs,339,"// TODO: When importing project, AssetPreviewUpdater::CreatePreviewForAsset will be called multiple times."
Packages/com.unity.render-pipelines.universal/Runtime/RenderingUtils.cs,605,// Temporarily disabling depth resolve a driver bug on OSX when using some AMD graphics cards. Temporarily disabling depth resolve on that platform
Packages/com.unity.render-pipelines.universal/Runtime/RenderingUtils.cs,606,// TODO: re-enable once the issue is investigated/fixed
Packages/com.unity.render-pipelines.universal/Runtime/ForwardLights.cs,22,public static int _MainLightPosition;   // DeferredLights.LightConstantBuffer also refers to the same ShaderPropertyID - TODO: move this definition to a common location shared by other UniversalRP classes
Packages/com.unity.render-pipelines.universal/Runtime/ForwardLights.cs,23,public static int _MainLightColor;      // DeferredLights.LightConstantBuffer also refers to the same ShaderPropertyID - TODO: move this definition to a common location shared by other UniversalRP classes
Packages/com.unity.render-pipelines.universal/Runtime/ForwardLights.cs,554,"// TODO: If we can robustly detect LIGHTMAP_ON, we can skip SH logic."
Packages/com.unity.render-pipelines.universal/Runtime/Decal/ScreenSpace/DecalGBufferRenderPass.cs,77,"true, false, // TODO: Make rendering layers transient"
Packages/com.unity.render-pipelines.universal/Runtime/Decal/DBuffer/DBufferRenderPass.cs,150,// TODO: This should be replace with mrt clear once we support it
Packages/com.unity.render-pipelines.universal/Runtime/Decal/Entities/DecalDrawSystem.cs,175,// RENDERGRAPH TODO: schedule drawmesh through commandBuffer?
Packages/com.unity.render-pipelines.universal/Runtime/Decal/Entities/DecalDrawSystem.cs,203,// RENDERGRAPH TODO: schedule drawmesh through commandBuffer?
Packages/com.unity.render-pipelines.universal/Runtime/FrameData/UniversalCameraData.cs,65,Matrix4x4 gpuProjectionMatrix = GetGPUProjectionMatrix(renderIntoTexture); // TODO: invProjection might NOT match the actual projection (invP*P==I) as the target flip logic has diverging paths.
Packages/com.unity.render-pipelines.universal/Runtime/Passes/DrawObjectsPass.cs,26,public bool m_IsActiveTargetBackBuffer; // TODO: Remove this when we remove non-RG path
Packages/com.unity.render-pipelines.universal/Runtime/Passes/DrawSkyboxPass.cs,35,"// TODO: The skybox needs to work the same as the other shaders, but until it does we'll not render it"
Packages/com.unity.render-pipelines.universal/Runtime/Passes/DrawSkyboxPass.cs,139,"// TODO: The skybox needs to work the same as the other shaders, but until it does we'll not render it"
Packages/com.unity.render-pipelines.universal/Runtime/Passes/CopyColorPass.cs,127,// TODO RENDERGRAPH: Do we need a similar check in the RenderGraph path?
Packages/com.unity.render-pipelines.universal/Runtime/Passes/ScreenSpaceAmbientOcclusionPass.cs,385,// TODO: Refactor to eliminate the need for 'UseTexture'.
Packages/com.unity.render-pipelines.universal/Runtime/Passes/CopyDepthPass.cs,18,// TODO RENDERGRAPH: The Render method overwrites this property with -1 before doing anything else. It should only be used in Compatibility Mode!
Packages/com.unity.render-pipelines.universal/Runtime/Passes/CopyDepthPass.cs,277,// TODO RENDERGRAPH: should call the equivalent of Setup() to initialise everything correctly
Packages/com.unity.render-pipelines.universal/Runtime/Passes/MotionVectorRenderPass.cs,88,// TODO: add option to only draw either one?
