path,insertions,deletions,touches,churn
Assets/Plugins/Sirenix/Odin Inspector/Modules/Unity.Localization/Editor/GUI/OdinTableCollectionEditor.cs,5606,2394,2,8000
Assets/ThirdParty/AmplifyShaderEditor/Plugins/Editor/Wires/InputPort.cs,4835,2977,4,7812
Assets/Plugins/IngameDebugConsole/Scripts/DebugLogManager.cs,6031,1689,3,7720
Packages/com.unity.render-pipelines.universal/Editor/ShaderGraph/GraphTemplates/Terrain Standard 4 Layers URP.shadergraph,7339,0,1,7339
Assets/ThirdParty/AmplifyShaderEditor/Plugins/Editor/Nodes/Constants/StaticSwitch.cs,4482,2774,4,7256
Assets/ThirdParty/AmplifyShaderEditor/Plugins/EditorResources/Templates/Legacy/Lit.shader,4604,2302,3,6906
Assets/Plugins/IngameDebugConsole/Scripts/DebugLogConsole.cs,5189,1472,3,6661
Assets/ThirdParty/AmplifyShaderEditor/Plugins/Editor/Nodes/Master/FunctionNode.cs,4063,2512,4,6575
Assets/HierarchyDecorator/Settings.asset,6510,27,4,6537
Assets/ThirdParty/AmplifyShaderEditor/Plugins/Editor/Templates/TemplateOptionsData.cs,3921,2456,4,6377
Assets/Plugins/UniTask/Runtime/Triggers/MonoBehaviourMessagesTriggers.cs,5785,548,2,6333
Assets/ThirdParty/AmplifyShaderEditor/Plugins/Editor/Templates/TemplateData.cs,3872,2354,4,6226
Assets/ThirdParty/AmplifyShaderEditor/Plugins/Editor/Nodes/Textures/TexturePropertyNode.cs,3559,2222,4,5781
Assets/Plugins/Zenject/Source/Main/DiContainer.cs,5210,480,2,5690
Assets/ThirdParty/AmplifyShaderEditor/Plugins/Editor/Utils/IOUtils.cs,3544,2099,4,5643
Assets/ThirdParty/AmplifyShaderEditor/Plugins/Editor/Nodes/Master/MasterNode.cs,3376,2105,4,5481
Assets/ThirdParty/AmplifyShaderEditor/Plugins/Editor/Nodes/Constants/TextureArrayNode.cs,3311,1972,4,5283
